source_string,translated_string,context
Overview,Panoramica,
Billing,Fatturazione,
Renewal & Dates,Rinnovo e Date,
Admin,Amministrazione,
Acceptance Date,Data di accettazione,
Accepted,Accettato,
Active,Attivo,
Actual,Effettivo,
Actual Amount,Importo effettivo,
Actual Entries,Registrazioni consuntive,
Add at least one Allocation (year + planned amount) before moving a project to status {0}.,Aggiungi almeno un'Allocazione (anno + importo previsto) prima di cambiare lo stato del progetto in {0}.,
Allocation {0} Planned Amount,Importo previsto allocazione {0},
Allocations,Allocazioni,
Amended From,Modificato da,
Amendments,Variazioni,
Amendments Delta,Delta variazioni,
Amount,Importo,
Amount Includes VAT,Importo IVA inclusa,
Annual,Annuale,
Annual Gross Amount,Importo lordo annuale,
Annual Net Amount,Importo netto annuale,
Annual Renewal,Rinnovo annuale,
Annual VAT Amount,IVA annuale,
Approve,Approva,
Approved,Approvato,
Approved Budget vs Actual,Budget approvato vs Effettivo,
Approved Date,Data approvazione,
Archived,Archiviato,
Attachment,Allegato,
Attachments,Allegati,
Auto Renew,Rinnovo automatico,
Baseline,Baseline,
Baseline Amount,Importo baseline,
Billing Cycle,Ciclo di fatturazione,
Budget,Budget,
Budget Allocations,Allocazioni budget,
Budget Amount,Importo budget,
Budget Line Ref,Rif. riga budget,
Budget Lines,Righe budget,
Budget Prefix,Prefisso budget,
Budget Sequence Digits,Cifre sequenza budget,
Budget naming requires year parameter (Budget.year field),La nomenclatura del budget richiede il parametro anno (campo Budget.year),
Budgets,Budget,
CAPEX,CAPEX,
Cancelled,Annullato,
Categories,Categorie,
Category,Categoria,
Category Name,Nome categoria,
Client Editor,Client Editor,
Completed,Completato,
Contact Email,Email contatto,
Contact Phone,Telefono contatto,
Contract,Contratto,
Contract End,Fine contratto,
Contract Kind,Tipo contratto,
Contract Renewals Window,Finestra rinnovi contratto,
Contract Start,Inizio contratto,
Contracts,Contratti,
Cost Type,Tipo costo,
Count,Conteggio,
Currency,Valuta,
Current Amount,Importo attuale,
Current Amount Includes VAT,Importo attuale IVA inclusa,
Current Budget,Budget corrente,
Current Budget vs Actual,Budget corrente vs Effettivo,
Custom,Personalizzato,
Custom Period (Months),Periodo personalizzato (mesi),
Days Forward,Giorni in avanti,
Days to Renewal,Giorni al rinnovo,
Default Amount Includes VAT,Importo predefinito IVA inclusa,
Default VAT Rate,Aliquota IVA predefinita,
Delta Amount,Importo delta,
Delta Amount Includes VAT,Importo delta IVA inclusa,
Description,Descrizione,
Done,Completato,
Draft,Bozza,
Due Date,Data scadenza,
Effective Date,Data di effetto,
End Date,Data fine,
Expense Kind,Tipo di spesa,
Expired,Scaduto,
Excel,Excel,
Expired Contracts,Contratti scaduti,
Expired Count,Numero scaduti,
Fiscal Year,Anno fiscale,
From Date,Data iniziale,
Generated on,Generato il,
Gross Amount,Importo lordo,
Gross Delta Amount,Importo lordo delta,
Gross Planned Amount,Importo lordo previsto,
In Progress,In corso,
In Review,In revisione,
Insights,Approfondimenti,
Include Past,Includi passati,
Is Active,Attivo,
Is Group,È gruppo,
Is Portfolio Bucket,Bucket di portafoglio,
Last Year,Anno precedente,
Left,Sinistra,
Line {0} Amount,Importo riga {0},
Line {0} Delta Amount,Importo delta riga {0},
Line {0}: Period ({1} to {2}) has zero overlap with fiscal year {3}. Cannot save budget line with no temporal overlap.,Riga {0}: Il periodo ({1} - {2}) non si sovrappone con l'anno fiscale {3}. Impossibile salvare la riga di budget senza sovrapposizione temporale.,
Lines,Righe,
MPIT Approved Budget vs Actual,MPIT Budget approvato vs Effettivo,
MPIT Budget,MPIT Budget,
MPIT Budget Professional,MPIT Budget Professionale,
MPIT Budget Workflow,MPIT Budget Workflow,
MPIT Budget vs Actual (Approved),MPIT Budget vs Effettivo (Approvato),
MPIT Current Budget vs Actual,MPIT Budget corrente vs Effettivo,
MPIT Project,Progetto MPIT,
MPIT Project Professional,Progetto MPIT Professionale,
MPIT Projects Planned vs Actual,Progetti MPIT: Previsto vs Effettivo,
MPIT Renewals Window,Finestra rinnovi MPIT,
MPIT Renewals Window (by Month),Rinnovi MPIT per mese,
MPIT User Preferences,Preferenze utente MPIT,
Maintenance,Manutenzione,
Master Plan IT,Master Plan IT,
Master Plan IT Overview,Panoramica Master Plan IT,
Milestones,Milestone,
Monthly,Mensile,
More,Altri moduli,
N/A,N/D,
Naming Preferences,Preferenze di nomenclatura,
Needs Clarification,Richiede chiarimenti,
Net Amount,Importo netto,
Net Delta Amount,Importo netto delta,
Net Planned Amount,Importo netto previsto,
Next Renewal,Prossimo rinnovo,
Next Renewal Date,Prossima data di rinnovo,
No MPIT Year covers posting date {0}. Create year {1} or set start/end dates that include the date.,Nessun Anno MPIT copre la data {0}. Crea l'anno {1} o imposta date di inizio/fine che includano la data.,
No data available,Nessun dato disponibile,
No renewals in this window,Nessun rinnovo in questa finestra,
None,Nessuna,
Normal,Normale,
Note,Nota,
Notes,Note,
Notice Days,Giorni di preavviso,
OPEX,OPEX,
Old Parent,Vecchio genitore,
On Hold,In sospeso,
One-off,Una tantum,
Other,Altro,
Owner,Proprietario,
Owner User,Utente proprietario,
Parent Category,Categoria padre,
Parent MPIT Category,Categoria MPIT padre,
Pending Renewal,In attesa di rinnovo,
Period End Date,Data fine periodo,
Period Start Date,Data inizio periodo,
Planned,Previsto,
Planned Amount,Importo previsto,
Planned Amount Includes VAT,Importo previsto IVA inclusa,
Planned Gross,Lordo previsto,
Planned Net,Netto previsto,
Planning,Pianificazione,
Portfolio Warning Threshold %,Soglia di avviso portafoglio %,
Posting Date,Data di registrazione,
Posting Date is required to derive MPIT Year.,La data di registrazione è obbligatoria per ricavare l'anno MPIT.,
Print Preferences,Preferenze di stampa,
Printed on,Stampato il,
Project,Progetto,
Project Prefix,Prefisso progetto,
Project Sequence Digits,Cifre sequenza progetto,
Projects,Progetti,
Projects: Planned vs Actual,Progetti: Previsto vs Effettivo,
Quick Actions,Azioni rapide,
Propose,Proponi,
Proposed,Proposto,
Quarterly,Trimestrale,
Quote Date,Data preventivo,
Quote {0} Amount,Importo preventivo {0},
Quotes,Preventivi,
Reason,Motivazione,
Received,Ricevuto,
Recorded,Registrato,
Recurrence,Ricorrenza,
Recurrence Rule,Regola di ricorrenza,
Reject,Rifiuta,
Rejected,Respinto,
Renewal Window Days,Giorni finestra rinnovo,
Renewals,Rinnovi,
Renewals 30d,Rinnovi 30g,
Renewals 60d,Rinnovi 60g,
Renewals 90d,Rinnovi 90g,
Renewed,Rinnovato,
