About,Über,
Active,Aktiv,
Advanced,Fortgeschritten,
Annual,Jährlich,
Attachment,Anhang,
Attachments,Anhänge,
Cancelled,Storniert,
Contact Email,Kontakt-E-Mail,
Contact Phone,Kontakt-Telefon,
Context,Kontext,
Description,Beschreibung,
End Date,Enddatum,
Frappe Support,Frappe Support,
From Date,Von-Datum,
Is Active,Ist aktiv,
Keyboard Shortcuts,Tastaturkürzel,
Left,Links,
Monthly,Monatlich,
Overview,Übersicht,
Print Settings,Druckeinstellungen,
Project,Projekt,
Rejected,Abgelehnt,
Right,Rechts,
Start Date,Startdatum,
Summary,Zusammenfassung,
System,System,
System Health,Systemgesundheit,
System Manager,System-Manager,
Title,Titel,
To Date,Bis-Datum,
Year,Jahr,
