About,درباره,
Active,فعال,
Advanced,پیشرفته,
Annual,سالانه,
Attachment,پیوست,
Attachments,پیوست‌ها,
Cancelled,لغو شده,
Contact Email,تماس با ایمیل,
Contact Phone,تلفن تماس,
Context,زمینه,
Description,شرح,
End Date,تاریخ پایان,
Frappe Support,پشتیبانی Frappe,
From Date,از تاریخ,
Is Active,فعال است,
Is Group,گروه است,
Keyboard Shortcuts,میانبرهای صفحه کلید,
Left,چپ,
Monthly,ماهانه,
Overview,بررسی اجمالی,
Print Settings,تنظیمات چاپ,
Project,پروژه,
Rejected,رد شده,
Right,راست,
Start Date,تاریخ شروع,
Summary,خلاصه,
System,سیستم,
System Health,سلامت سیستم,
System Manager,مدیر سیستم,
Title,عنوان,
To Date,تا تاریخ,
Year,سال,
