About,O,
Active,Aktivan,
Advanced,Napredno,
Annual,Godišnji,
Attachment,Prilog,
Attachments,Prilozi,
Cancelled,Otkazano,
Contact Email,Kontakt e-pošta,
Contact Phone,Kontakt Telefon,
Context,Kontekst,
Description,Opis,
End Date,Datum Završetka,
Frappe Support,Frappe Podrška,
From Date,Od Datuma,
Is Active,Aktivan,
Is Group,Grupa,
Keyboard Shortcuts,Prečice Tastature,
Left,Lijevo,
Monthly,Mjesečno,
Overview,Pregled,
Print Settings,Postavke Ispisa,
Project,Projekat,
Rejected,Odbijeno,
Right,Desno,
Start Date,Datum Početka,
Summary,Sažetak,
System,Sistem,
System Health,Status Sistema,
System Manager,Upravitelj Sistema,
Title,Naziv,
To Date,Do Datuma,
Year,Godina,
