About,Om,
Active,Aktiv,
Advanced,Avansert,
Annual,Årlig,
Attachments,Vedlegg,
Cancelled,Avbrutt,
Contact Email,E-postadresse for kontakt,
Contact Phone,Kontakttelefon,
Description,Beskrivelse,
End Date,Sluttdato,
Frappe Support,Frappe-støtte,
From Date,Fra dato,
Is Active,Er aktiv,
Is Group,Er gruppe,
Keyboard Shortcuts,Tastatursnarveier,
Left,Venstre,
Monthly,Månedlig,
Overview,Oversikt,
Print Settings,Utskriftsinnstillinger,
Project,Prosjekt,
Rejected,Avvist,
Right,Høyre,
Start Date,Startdato,
Summary,Sammendrag,
System Health,Systemhelse,
System Manager,Systemansvarlig,
Title,Tittel,
To Date,Til dato,
Year,År,
