About,O,
Active,Aktivan,
Advanced,Napredno,
Annual,Godišnji,
Attachment,Prilog,
Attachments,Prilozi,
Cancelled,Otkazano,
Contact Email,Kontakt imejl,
Contact Phone,Kontakt telefon,
Context,Kontekst,
Description,Opis,
End Date,Datum završetka,
Frappe Support,Frappe podrška,
From Date,Datum početka,
Is Active,Aktivno,
Is Group,Grupa,
Keyboard Shortcuts,Prečice na tastaturi,
Left,Levo,
Monthly,Mesečno,
Overview,Pregled,
Print Settings,Podešavanje štampe,
Project,Projekat,
Rejected,Odbijeno,
Right,Desno,
Start Date,Datum početka,
Summary,Rezime,
System,Sistem,
System Health,Stanje sistema,
System Manager,Sistem menadžer,
Title,Naslov,
To Date,Datum završetka,
Year,Godina,
