About,О,
Active,Активан,
Advanced,Напредно,
Annual,Годишњи,
Attachment,Прилог,
Attachments,Прилози,
Cancelled,Отказано,
Contact Email,Контакт имејл,
Contact Phone,Контакт телефон,
Context,Контекст,
Description,Опис,
End Date,Датум завршетка,
Frappe Support,Frappe подршка,
From Date,Датум почетка,
Is Active,Активно,
Is Group,Група,
Keyboard Shortcuts,Пречице на тастатури,
Left,Лево,
Monthly,Месечно,
Overview,Преглед,
Print Settings,Подешавање штампе,
Project,Пројекат,
Rejected,Одбијено,
Right,Десно,
Start Date,Датум почетка,
Summary,Резиме,
System,Систем,
System Health,Стање система,
System Manager,Систем менаџер,
Title,Наслов,
To Date,Датум завршетка,
Year,Година,
