About,Om,
Active,Aktiv,
Advanced,Avancerad,
Annual,Årlig,
Attachment,Bilaga,
Attachments,Bilagor,
Cancelled,Annullerad,
Contact Email,Kontakt E-post,
Contact Phone,Kontakt Telefon,
Context,Kontext,
Description,Beskrivning,
End Date,Slut Datum,
Frappe Support,Frappe Support,
From Date,Från Datum,
Is Active,Är Aktiv,
Is Group,Är Grupp,
Keyboard Shortcuts,Kort Kommando,
Left,Vänster,
Monthly,Månadsvis,
Overview,Recension ,
Print Settings,Utskrift Inställningar,
Project,Projekt,
Rejected,Avvisad,
Right,Höger,
Start Date,Start Datum,
Summary,Översikt,
System,System,
System Health,System Status,
System Manager,System Ansvarig,
Title,Benämning,
To Date,Till Datum,
Year,År,
