About,Hakkında,
Active,Aktif,
Advanced,Gelişmiş,
Attachment,Belge Eki,
Attachments,Belge Ekleri,
Cancelled,İptal edildi,
Contact Email,İletişim E-Posta,
Contact Phone,İrtibat Telefonu,
Context,Bağlam,
Description,Açıklama,
End Date,Bitiş Tarihi,
Frappe Support,Frappe Desteği,
From Date,Başlama Tarihi,
Is Group,Grup,
Keyboard Shortcuts,Klavye Kısayolları,
Left,Ayrıldı,
Monthly,Aylık,
Overview,Genel Bakış,
Print Settings,Yazdırma Ayarları,
Project,Proje,
Right,Sağ,
Start Date,Başlangıç Tarihi,
Summary,Özet,
System,Sistem,
System Health,Sistem Sağlığı,
System Manager,Sistem Yöneticisi,
Title,Başlık,
To Date,Bitiş Tarihi,
