About,关于,
Active,激活,
Advanced,高级,
All,全部,
Annual,全年,
Attachment,附件,
Attachments,附件,
Auto,自动,
Cancelled,已取消,
Contact Email,联系人电邮,
Contact Phone,联系电话,
Context,上下文,
Description,描述,
End Date,结束日期,
Expired,已过期,
Frappe Support,Frappe支持,
From Date,开始日期,
Is Active,生效,
Is Group,是否分组,
Keyboard Shortcuts,键盘快捷键,
Landscape,横向打印,
Left,左对齐,
Month,月,
Monthly,每月,
No,否,
Orientation,方向,
Overview,概况,
Portrait,纵向打印,
Print Settings,打印设置,
Profile,个人资料,
Project,项目,
Reference,参考,
Rejected,拒绝,
Report View,报表视图,
Right,右对齐,
Signature,签名,
Standard,标准,
Start Date,开始日期,
Status,状态,
Summary,概要,
System,系统,
System Health,系统健康状态,
System Manager,系统管理员,
Title,标题,
To Date,结束日期,
Totals,总计,
Unknown,未知,
Year,年,
Yes,是,
